#diode1
#Diode Vf-If
#VF= -4.5 to 1.025 in 0.025 step
#NO. VF IF
# V A
157 -0.6 -6.2858E-09
158 -0.575 -3.7608E-09
159 -0.55 -3.0859E-09
160 -0.525 -5.2512E-09
161 -0.5 -2.697E-09
162 -0.475 -2.1496E-09
163 -0.45 -4.2288E-09
164 -0.425 -1.9067E-09
165 -0.4 -1.5107E-09
166 -0.375 -3.7328E-09
167 -0.35 -1.4953E-09
168 -0.325 -1.1543E-09
169 -0.3 -3.3256E-09
170 -0.275 -1.8215E-09
171 -0.25 -1.7462E-09
172 -0.225 -1.6317E-09
173 -0.2 -1.5426E-09
174 -0.175 -1.5592E-09
175 -0.15 -1.4466E-09
176 -0.125 -1.5181E-09
177 -0.1 -1.4763E-09
178 -0.075 -1.533E-09
179 -0.05 -1.3421E-09
180 -0.025 -1.5454E-09
181 0 -1.5379E-09
182 0.025 -1.3261E-09
183 0.05 -1.4893E-09
184 0.075 -1.1816E-09
185 0.1 -1.9195E-09
186 0.125 -1.9412E-09
187 0.15 -1.6793E-09
188 0.175 1.0951E-09
189 0.2 2.5871E-09
190 0.225 2.2695E-09
191 0.25 7.2944E-09
192 0.275 1.3463E-08
193 0.3 2.2089E-08
194 0.325 4.1766E-08
195 0.35 6.8945E-08
196 0.375 1.1577E-07
197 0.4 1.9322E-07
198 0.425 3.3733E-07
199 0.45 5.8214E-07
200 0.475 1.02805E-06
201 0.5 1.87E-06
202 0.525 3.5676E-06
203 0.55 6.9276E-06
204 0.575 1.4042E-05
205 0.6 2.9635E-05
206 0.625 6.6664E-05
207 0.65 0.00015151
208 0.675 0.00035174
209 0.7 0.00083097
210 0.725 0.0018331
211 0.75 0.003686
212 0.775 0.006579
213 0.8 0.0105533
214 0.825 0.015127
215 0.85 0.020107
216 0.875 0.025255
217 0.9 0.030448
218 0.925 0.035029
219 0.95 0.038497
220 0.975 0.036454
221 1 0.03841
222 1.025 0.039994
